"Mutations to mutants (GC1)" "Mutants (GC1)" "Mutations to Mutators (GC1)" "Mutators (GC1)" "Mutations to mutant mutators (GC1)" "Mutator_mutants (GC1)" "Mutations to mutants (GC2)" "Mutants (GC2)" "Mutations to Mutators (GC2)" "Mutators (GC2)" "Mutations to mutant mutators (GC2)" "Mutator_mutants (GC2)" "Mutations to mutants (GC3)" "Mutants (GC3)" "Mutations to Mutators (GC3)" "Mutators (GC3)" "Mutations to mutant mutators (GC3)" "Mutator_mutants (GC3)"
875 10335 85364 1128763 509 2802 875 36083 85533 1872392 366 1979 860 56902 85722 2406048 360 10035
839 8911 85773 1884141 898 10258 841 19737 85856 2841456 346 38174 805 8358 85623 3489970 350 28151
853 5740 85769 1255595 609 3552 882 12374 86094 2043149 340 8967 852 8112 86191 2655543 332 7866
877 5077 85226 1239467 628 3643 942 7204 85846 1956756 337 11772 855 4802 86254 2731112 383 11192
895 6658 85958 1009402 485 3684 884 5080 85826 1694344 355 2240 822 21201 85673 2479158 336 1762
871 9113 86436 927649 456 2785 817 8433 86208 1760185 406 3088 862 21279 86416 2474973 349 2270
803 4172 86190 1367599 673 3454 783 7735 86037 1923941 369 1520 787 10721 85937 2713353 363 2296
864 6827 85829 2715967 1309 7899 805 5046 86033 3747715 360 29809 842 7468 86236 4748664 401 25916
880 10373 85405 1022203 483 1801 872 4561 86029 1733925 411 10113 905 6766 85806 2470120 390 14938
880 9097 85934 1082068 539 9574 835 52182 85703 1851433 379 3623 868 35931 85354 2838924 365 2305
833 5584 86279 990482 494 2034 870 25823 85531 1420607 357 1284 853 78800 85966 2306352 351 3947
905 6198 85716 1399707 704 4685 884 12102 85904 1959112 374 9204 817 19623 86264 2996966 342 3596
844 10657 86319 893953 405 1881 909 9656 85876 1718860 348 3282 869 14731 85675 2374473 365 7215
816 11402 85723 893502 429 1838 893 11383 85768 1746173 388 2998 811 5191 86337 2457181 339 2053
871 6639 85619 1228667 626 2809 802 21387 85951 1638393 352 1283 868 35843 85701 2577186 388 1828
837 8040 85949 1064744 515 2089 827 8664 85978 1623012 394 2828 868 8164 85910 2294183 403 7439
910 6949 86569 1334796 638 3824 877 46433 85762 2106131 315 1112 825 29631 86109 2825728 370 1359
859 6220 85640 1734604 803 42723 894 48989 85993 2602308 373 14914 863 20713 86192 2928814 352 5101
883 6070 86141 1156451 560 27214 897 8226 85916 1716392 341 43976 834 33923 85608 2330725 396 49199
856 5203 86499 1178379 528 2542 856 12042 85927 1696965 336 5859 830 34492 85720 2598065 367 1413
871 6367 85851 1459421 707 5780 934 12033 85802 2330890 374 27705 865 17344 85917 3182615 388 2598
826 6795 85908 1006371 484 2501 867 11600 85990 1801930 355 4590 835 32265 85910 2735545 349 7508
822 6906 85642 851359 392 2593 838 6064 85935 1610045 374 1493 814 4807 85856 2645369 384 3889
855 5570 86105 838489 362 1852 885 15499 86021 1573250 449 9448 885 40170 85985 2466431 347 7410
851 8598 85746 1003312 427 2523 892 6751 86048 2012717 340 10164 873 20961 85498 2723786 365 2689
834 11579 85510 1684957 814 3103 867 59664 85911 2411728 379 2854 843 74167 85983 3105005 332 10599
894 6941 86381 835647 371 1932 861 45057 85527 1622272 363 2350 852 62475 85777 2299373 381 1883
783 6388 86252 1314928 583 4351 866 5365 85855 2276644 346 6370 837 21649 86381 3009968 378 1787
799 6202 86713 3619186 1827 15686 875 19061 85777 4761513 319 31680 855 16898 85230 5559369 352 39612
857 4207 85496 950643 409 2033 866 9214 85807 1669996 364 4777 864 7971 85758 2520673 351 1386
866 6614 85825 1051989 498 3350 853 4667 86311 1494760 357 1413 891 8043 85435 2508624 334 1708
837 6570 85391 1222554 590 4298 913 6919 86168 2054207 355 2619 899 10102 85523 2869689 386 2759
845 5207 85519 1168075 552 2823 887 17354 85862 2014297 351 2025 831 18127 85495 2634441 358 1450
884 5089 85726 1182113 567 3859 883 6492 85327 1726935 377 1607 861 7496 86109 2618870 338 1116
854 4269 85643 1026679 464 2244 813 18914 86006 1596397 364 1262 879 106548 86048 2119844 366 50866
866 14087 85872 821038 397 1817 877 28865 86200 1630134 359 2279 841 65699 85840 2387472 397 1792
867 5122 86194 888849 430 3537 889 8570 86341 1833032 351 14875 847 11108 85898 2981952 387 25283
851 13812 85841 847413 406 1500 861 28746 85956 1726716 354 2087 863 21422 85863 2707660 394 8145
868 4566 85749 1005833 496 2136 834 9530 86339 1755734 361 1232 871 9601 85930 2442038 401 3479
901 6739 86391 1211496 632 2809 922 12555 86157 2251792 395 1780 868 26682 85560 2731956 349 1412
850 5211 86521 1064793 523 1937 846 24899 85478 1940141 384 1811 845 61823 85597 2705158 317 1674
855 6763 86027 1157867 574 2436 849 4451 85772 1608662 397 3009 855 23506 85874 2201978 349 1452
866 5987 85617 984110 435 2836 898 17052 86100 1908299 380 13140 821 35193 85874 2633652 375 34548
851 5021 86361 1476683 694 4692 849 21105 86514 2471553 386 1811 927 23999 85783 2948729 362 1745
822 11376 86051 903321 405 1620 827 7108 86082 1589350 337 1393 857 12311 85489 2327466 381 4367
896 23310 86306 5342565 2607 26306 912 61897 85810 6251353 392 7853 829 11677 86052 7214488 365 6034
852 6101 85208 1009056 482 1979 859 7577 86176 1880456 396 1343 804 15680 85682 2386889 330 2094
805 8232 85858 213964333 106601 1245885 865 10195 85605 215055822 408 1274281 899 7292 85225 215580774 365 1291039
842 5324 85973 1438966 670 3160 926 7888 86051 2300481 403 13692 890 40743 86067 3147796 372 3488
859 5984 86512 999411 501 2990 884 4906 85829 1819717 360 4276 829 8855 85978 2786092 371 4222
846 5227 85432 1484843 707 4425 844 32756 85904 2143457 339 2001 906 46636 85274 2807849 401 1558
895 11312 85598 2512454 1259 12924 858 24534 86118 3091551 281 27788 821 32094 85626 3748888 307 39166
839 6757 85581 877203 417 2189 896 16110 86254 1497229 380 1323 842 23126 85739 2326022 362 3416
900 4844 85809 1027586 490 1977 838 4940 85575 1594180 348 2669 823 5413 86291 2488338 390 5222
876 24854 86661 1505069 766 4920 844 37892 85451 2330964 351 22214 873 24115 86107 3067192 293 27308
890 6756 86433 887391 408 2821 857 6833 85511 1735750 412 3548 878 15298 85648 2674573 357 1252
847 10172 85962 1891752 935 6324 849 21762 86145 3032729 356 2886 830 40419 85567 3454585 391 1800
830 5418 85983 1199563 596 4090 871 7888 85950 2065824 414 1880 896 12030 85964 2691373 442 39305
877 4912 85701 970292 452 4176 879 6822 85901 1598593 353 1592 848 28577 85999 2356281 367 2093
815 13184 85677 1607925 768 11548 886 7914 85925 2414378 328 20922 913 12876 85601 3243571 348 20262
884 8744 85665 966430 466 2301 852 17628 86317 2023997 355 1807 826 7833 86106 2830057 386 1399
875 10612 86099 1114947 535 3326 857 8764 85828 1723136 308 6496 826 7383 86141 2662389 366 3970
843 8015 85583 1068908 513 2443 866 46022 85983 2026217 370 1314 847 48812 85701 2916075 370 2850
902 8462 85892 1139150 555 2844 898 9965 86269 2190843 389 2228 851 6671 85799 2860322 386 1756
787 4894 85812 920731 432 2140 850 5892 86270 1691737 365 1618 846 6241 86300 2455351 320 1579
