"Mutations_to_mutants_GC_1" "Mutants_GC_1" "Mutations_to_mutators_GC_1" "Mutators_GC_1" "Mutations_to_mutant_mutators_GC_1" "Mutant_mutators_GC_1" "Mutations_to_mutants_GC_2" "Mutants_GC_2" "Mutations_to_mutators_GC_2" "Mutators_GC_2" "Mutations_to_mutant_mutators_GC_2" "Mutant_mutators_GC_2" "Mutations_to_mutants_GC_3" "Mutants_GC_3" "Mutations_to_mutators_GC_3" "Mutators_GC_3" "Mutations_to_mutant_mutators_GC_3" "Mutant_mutators_GC_3"
870 6316 85360 1232211 99 249 891 7991 86224 1857650 70 282 842 19537 85770 3086927 85 288
880 5436 85602 1122064 108 367 860 6746 86358 1819297 96 453 849 3678 85914 2926992 72 478
891 11052 85867 2279394 235 2356 866 20514 86175 2919033 75 212 860 8554 85387 3667700 96 384
883 9293 85806 1050964 105 327 850 11498 86006 1989130 89 242 827 6348 85961 2516638 85 249
873 7953 86427 946205 98 312 876 9880 85720 1851889 59 197 807 22924 85758 2429246 72 267
887 6155 85876 1005915 93 390 842 14157 86141 1813664 71 340 835 6058 86173 2708705 73 331
831 13702 85862 1027969 98 419 873 15141 86135 1671185 78 275 847 12623 85781 2230269 63 176
889 5695 85792 1005604 99 362 880 5674 85642 1742501 74 15137 845 5456 85560 2781110 87 33203
893 5686 85857 1168900 109 696 883 7351 85979 2027682 59 251 880 6602 85599 2785190 76 329
866 5941 86408 1015433 88 331 831 8594 85922 1817781 91 484 839 6291 85451 2579408 66 401
807 7840 85659 2712983 306 3440 832 4844 85766 3569711 70 336 844 6830 85796 4638155 65 426
803 7096 85847 999044 102 288 793 9635 85988 1897965 61 473 878 20292 86210 3033502 69 162
824 5426 86462 1045586 95 365 891 12743 86070 1880067 84 1302 832 4927 86005 2301734 74 401
812 25151 85898 919969 92 419 841 41777 85761 1598189 67 162 858 64602 85605 2342389 68 328
854 6563 86048 1619933 157 561 845 8955 85812 2599547 65 174 915 47719 86293 3107093 88 836
871 7639 86077 881615 72 399 853 5427 85399 1803154 70 289 898 7550 86135 2640864 74 568
868 8371 85138 832735 78 381 884 7644 86173 1632725 65 259 851 5175 85467 2364975 72 155
864 5853 85795 939942 82 498 857 38915 85852 1870657 68 381 854 27742 85911 2616248 72 276
892 21003 85961 807925 75 417 877 9955 85553 1717508 79 344 862 15241 86009 2620962 75 459
856 8529 85841 1946558 184 758 878 5068 86266 3124003 80 6610 893 10279 85822 3917771 70 201
865 5496 86067 940909 88 274 878 6248 86444 1635290 80 320 804 23957 85842 2561204 70 370
822 4660 85835 1078772 85 286 877 8332 85781 1692961 84 250 882 8959 86321 2329081 67 171
873 6831 86130 1447534 131 544 865 19012 85699 2057240 76 262 886 95442 86366 2824486 57 199
809 8456 85722 996900 103 408 868 19505 85178 1667487 68 716 821 25045 85994 2532605 67 191
824 5065 86110 953884 83 303 803 17832 85165 1529375 71 270 850 17346 85694 2190767 83 948
865 4498 85901 1458507 127 676 910 19040 85638 2514657 62 135 863 25644 85582 3201977 77 1489
802 6011 85810 1997101 190 988 872 7046 85957 2930752 64 272 872 6251 86176 3725646 64 177
897 6034 86299 1081320 118 1741 865 12928 86071 1883831 85 640 892 5272 85676 2585942 95 307
815 13486 85858 955652 91 277 853 14385 85979 1738537 78 318 847 12402 86566 2490774 73 389
889 4411 86179 7850086 801 4019 872 14145 85941 8622510 64 17463 830 6993 85583 9710601 73 5306
854 4914 85677 1099770 105 388 859 17507 86175 1852069 89 553 883 5442 86234 2577975 70 564
888 16298 85745 1392779 130 1750 876 6433 85903 2315093 80 8849 844 11108 86256 3037118 75 9529
913 7032 85446 1644135 164 558 892 7273 86313 2163594 64 214 882 6972 86038 2791767 69 411
867 4776 85665 975263 89 267 829 7217 86616 1620629 71 168 890 17764 86613 2360051 78 243
924 13857 85960 1011132 106 820 933 41357 85612 1861211 75 190 881 30804 86252 2647236 82 321
820 7340 85779 976530 109 576 832 8239 85789 1757477 53 342 828 30009 85879 2504323 78 246
883 31078 86231 968537 90 408 889 26922 85677 1815273 75 260 863 23422 86181 2507638 72 11037
863 8003 86123 1224758 118 509 838 33174 85534 2023867 67 326 870 34896 86223 2945471 65 267
801 9846 85727 1031941 92 385 885 18750 85713 2084513 86 386 840 46933 85703 3034662 78 314
839 5810 86246 1279226 122 1875 867 12583 86098 2042750 58 344 880 15825 85971 2828362 64 322
882 7801 85943 1774616 169 1371 862 3718 86100 2506865 64 176 854 16728 85954 3208750 72 256
833 7396 85621 1083535 94 1508 856 7407 86581 1716982 62 206 837 5883 85511 2746467 56 261
831 46151 85772 1823359 175 633 864 43410 85387 2541837 65 245 835 43637 85658 3476466 80 317
924 9088 86189 1089708 101 417 813 38127 85559 1950570 79 211 861 14410 85970 2952911 92 1579
863 12090 85145 974517 97 302 852 17563 86015 1804225 78 231 836 35576 85559 2301621 92 699
871 4110 85333 980919 117 531 913 18166 85240 1788446 67 175 885 50171 86007 2641352 74 342
853 9571 85930 1030299 93 728 856 9969 85915 1917635 98 1074 828 38445 85907 2698395 62 314
854 6580 85658 907073 102 603 806 9542 85888 1667583 71 228 849 56001 85833 2498353 80 270
826 5786 85839 1189423 108 500 838 6920 86479 1772138 71 309 863 20377 85910 2473275 94 1889
881 6992 85918 2125813 181 1585 877 6825 85920 2881048 72 545 852 18069 85773 3408311 74 245
881 5603 85865 1049012 98 362 867 5743 86402 1995492 69 564 853 5326 85069 3048152 67 196
854 7391 85917 978736 97 740 843 9794 85158 1755136 85 396 842 17927 86081 2733263 79 388
